calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,feel_1,feel_1_pct,feel_2,feel_2_pct,feel_3,feel_3_pct,feel_4,feel_4_pct,feel_5,feel_5_pct,grow_all,help_1,help_1_pct,help_2,help_2_pct,help_3,help_3_pct,help_4,help_4_pct,help_5,help_5_pct,n_rate_rvws,n_reported_effects,neg_1,neg_1_pct,neg_2,neg_2_pct,neg_3,neg_3_pct,neg_4,neg_4_pct,neg_5,neg_5_pct,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
--position:57.06335188460623%,,,,"64,%,63,%,52,%,49,%,31,%,37,%,35,%,30,%,26,%,15,%,30,%,20,%,6,%,5,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Energetic, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Relaxed,64,Happy,63,Euphoric,52,Uplifted,49,Energetic,31,,Stress,37,Pain,35,Anxiety,30,Depression,26,Insomnia,15,334,225 people reported 1967 effects,Dry mouth,30,Dry eyes,20,Dizzy,6,Paranoid,5,Anxious,4,Pineapple,Skunk No. 1,"Seattle, WA,Ferndale, WA,Kingston, WA,Renton, WA,Bellingham, WA,Port Angeles, WA,Spokane, WA,Everett, WA,Mount Vernon, WA,Portland, OR",Hybrid,4.4 ,Pineapple Chunk,"width:170%,width:114%,width:58%","Herbal,Citrus,Peppery","Myrcene,Limonene,Caryophyllene",17.5
--position:3.296532834510196%,,,,"61,%,47,%,47,%,38,%,33,%,38,%,38,%,28,%,28,%,23,%,23,%,19,%,14,%,9,%,4,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Tingly, ,Pain, ,Stress, ,Inflammation, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Headache, ",Relaxed,61,Euphoric,47,Happy,47,Sleepy,38,Tingly,33,,Pain,38,Stress,38,Inflammation,28,Insomnia,28,Depression,23,32,21 people reported 152 effects,Dry mouth,23,Dry eyes,19,Dizzy,14,Anxious,9,Headache,4,,,"Portland, OR,Seattle, WA,Pittsfield, MA,Bend, OR,Eugene, OR,Tulsa, OK,Phoenix, AZ,Astoria, OR,Denver, CO,Everett, WA",Hybrid,4.4 ,OGKB,"width:170%,width:114%,width:58%","Peppery,Citrus,Herbal","Caryophyllene,Limonene,Myrcene",24
--position:76.85555640077901%,,Megalodon,La Blanca,"61,%,47,%,46,%,45,%,34,%,38,%,29,%,29,%,25,%,13,%,25,%,19,%,4,%,4,%,3,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Energetic, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Anxious, ,Headache, ,Dizzy, ",Happy,61,Relaxed,47,Uplifted,46,Euphoric,45,Energetic,34,,Stress,38,Anxiety,29,Pain,29,Depression,25,Fatigue,13,466,327 people reported 2369 effects,Dry mouth,25,Dry eyes,19,Anxious,4,Headache,4,Dizzy,3,South Indian Sativa,South American,"Phoenix, AZ,Tucson, AZ,Los Angeles, CA,Tulsa, OK,Maple Valley, WA,Bangor, ME,Oklahoma City, OK,Snohomish, WA,Chandler, AZ,Denver, CO",Sativa,4.1 ,Great White Shark,,,,14.5
--position:83.39110601230367%,,,,"57,%,55,%,51,%,44,%,35,%,40,%,30,%,29,%,22,%,13,%,32,%,19,%,7,%,6,%,3,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Energetic, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Happy,57,Euphoric,55,Uplifted,51,Relaxed,44,Energetic,35,,Stress,40,Anxiety,30,Depression,29,Pain,22,Fatigue,13,555,383 people reported 2915 effects,Dry mouth,32,Dry eyes,19,Dizzy,7,Paranoid,6,Anxious,3,California Sour,Lost Coast OG,"Portland, OR,Trinidad, CO,Medford, OR,Oklahoma City, OK,Seattle, WA,Otis Orchards, WA,Pueblo, CO,Salem, OR,Aurora, CO,Bend, OR",Hybrid,4.1 ,Lemon Diesel,"width:170%,width:114%,width:58%","Peppery,Pine,Herbal","Caryophyllene,Pinene,Myrcene",17.5
--position:12.984782114568915%,,,,"82,%,60,%,48,%,40,%,38,%,33,%,32,%,28,%,27,%,23,%,15,%,12,%,5,%,4,%,2,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Uplifted, ,Pain, ,Stress, ,Depression, ,Anxiety, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",Relaxed,82,Happy,60,Euphoric,48,Sleepy,40,Uplifted,38,,Pain,33,Stress,32,Depression,28,Anxiety,27,Insomnia,23,309,205 people reported 1649 effects,Dry mouth,15,Dry eyes,12,Dizzy,5,Anxious,4,Paranoid,2,LA Confidential,Blue Dream,"Portland, OR,Albany, OR,Bend, OR,Medford, OR,Beaverton, OR,Eugene, OR,Jenks, OK,Klamath Falls, OR,McMinnville, OR,Poteau, OK",Indica,4.5 ,JGR,,,,18.5
--position:22.98439144956097%,,,,"61,%,47,%,45,%,34,%,27,%,30,%,29,%,23,%,22,%,19,%,20,%,10,%,5,%,3,%,3,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Sleepy, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Anxious, ,Headache, ,Dizzy, ",Relaxed,61,Happy,47,Euphoric,45,Uplifted,34,Sleepy,27,,Stress,30,Pain,29,Anxiety,23,Depression,22,Insomnia,19,268,188 people reported 1356 effects,Dry mouth,20,Dry eyes,10,Anxious,5,Headache,3,Dizzy,3,Albert Walker,Chemdog 91,"Portland, OR,Eugene, OR,Bend, OR,Salem, OR,Beaverton, OR,Clearwater, FL,Miami, FL,Orlando, FL,Tucson, AZ,Oregon City, OR",Hybrid,4.7 ,Dogwalker OG,"width:170%,width:114%,width:58%","Citrus,Herbal,Peppery","Limonene,Myrcene,Caryophyllene",22.5
--position:61.72842567294274%,,Trash,Smooth Operator,"61,%,57,%,52,%,45,%,31,%,43,%,35,%,33,%,24,%,14,%,35,%,21,%,7,%,6,%,4,%","Euphoric, ,Happy, ,Relaxed, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Headache, ",Euphoric,61,Happy,57,Relaxed,52,Uplifted,45,Creative,31,"Easy,30 - 78,1 - 3,10 - 12",Stress,43,Pain,35,Anxiety,33,Depression,24,Insomnia,14,633,455 people reported 3661 effects,Dry mouth,35,Dry eyes,21,Paranoid,7,Dizzy,6,Headache,4,Mendocino Purps,Trainwreck,"Portland, OR,Seattle, WA,Vancouver, WA,Renton, WA,Anchorage, AK,Bellingham, WA,Everett, WA,Salem, OR,Spokane, WA,Albany, OR",Hybrid,4.2 ,Purple Trainwreck,"width:170%,width:114%,width:58%","Fruity,Herbal,Peppery","Terpinolene,Myrcene,Caryophyllene",16
--position:6.628340804144867%,,,,"72,%,53,%,44,%,35,%,25,%,28,%,26,%,23,%,21,%,17,%,19,%,7,%,6,%,3,%,3,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Aroused, ,Stress, ,Depression, ,Pain, ,Insomnia, ,Anxiety, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Anxious, ,Dizzy, ",Relaxed,72,Happy,53,Euphoric,44,Sleepy,35,Aroused,25,,Stress,28,Depression,26,Pain,23,Insomnia,21,Anxiety,17,103,76 people reported 510 effects,Dry mouth,19,Dry eyes,7,Paranoid,6,Anxious,3,Dizzy,3,The White,Tahoe OG Kush,"Portland, OR,Seattle, WA,Eugene, OR,Ferndale, WA,Vancouver, WA,Spokane, WA,Bellingham, WA,Salem, OR,Longview, WA,Spokane Valley, WA",Indica,4.6 ,White Tahoe Cookies,"width:170%,width:114%,width:58%","Peppery,Citrus,Herbal","Caryophyllene,Limonene,Myrcene",22
--position:45.137983898865215%,,Digweed,Sweet Cindy,"61,%,58,%,54,%,43,%,30,%,40,%,37,%,33,%,28,%,20,%,34,%,20,%,6,%,5,%,4,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Anxious, ",Happy,61,Relaxed,58,Euphoric,54,Uplifted,43,Creative,30,"Easy,30 - 78,3 - 6,7 - 9",Stress,40,Anxiety,37,Pain,33,Depression,28,Insomnia,20,610,430 people reported 3428 effects,Dry mouth,34,Dry eyes,20,Paranoid,6,Dizzy,5,Anxious,4,Nepalese,Hawaiian,"Oklahoma City, OK,Portland, OR,Spokane, WA,Tulsa, OK,Denver, CO,Mount Vernon, WA,Salem, OR,Skiatook, OK,Bristow, OK,Broken Arrow, OK",Indica,4.2 ,Sweet Tooth,,,,18
--position:77.35741558422777%,,,,"60,%,49,%,43,%,41,%,28,%,43,%,33,%,28,%,26,%,13,%,29,%,17,%,7,%,6,%,6,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",Happy,60,Euphoric,49,Uplifted,43,Relaxed,41,Creative,28,,Stress,43,Anxiety,33,Depression,28,Pain,26,Insomnia,13,511,375 people reported 2671 effects,Dry mouth,29,Dry eyes,17,Dizzy,7,Paranoid,6,Headache,6,,,"Portland, OR,Seattle, WA,Salem, OR,Kingston, WA,Renton, WA,Eugene, OR,San Francisco, CA,Washington, DC,Los Angeles, CA,Spokane, WA",Hybrid,4.2 ,Pineapple,"width:170%,width:114%,width:58%","Herbal,Peppery,Minty","Myrcene,Caryophyllene,Ocimene",17.5
--position:78.03746277930884%,,Serious Kush,White Choco,"60,%,58,%,53,%,46,%,38,%,47,%,34,%,28,%,27,%,16,%,37,%,23,%,11,%,6,%,6,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",Happy,60,Euphoric,58,Uplifted,53,Relaxed,46,Creative,38,,Stress,47,Anxiety,34,Depression,28,Pain,27,Insomnia,16,514,362 people reported 2904 effects,Dry mouth,37,Dry eyes,23,Dizzy,11,Headache,6,Paranoid,6,AK-47,White Widow,"Seattle, WA,Bellingham, WA,Spokane, WA,Kelso, WA,Portland, OR,Salem, OR,Spokane Valley, WA,Bend, OR,Bixby, OK,Custer, WA",Hybrid,4.2 ,White Russian,,,,16.5
--position:64.88681354849757%,,Buford OG,Afghan Sour Kush,"61,%,59,%,51,%,51,%,36,%,39,%,35,%,29,%,28,%,14,%,27,%,14,%,7,%,4,%,3,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Creative, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Happy,61,Relaxed,59,Uplifted,51,Euphoric,51,Creative,36,,Stress,39,Pain,35,Depression,29,Anxiety,28,Lack of appetite,14,602,429 people reported 3500 effects,Dry mouth,27,Dry eyes,14,Dizzy,7,Paranoid,4,Anxious,3,OG Kush,Sour Diesel,"Seattle, WA,Portland, OR,Anchorage, AK,Devils Lake, ND,Dickinson, ND,Jamestown, ND,Denver, CO,Eugene, OR,Grand Forks, ND,Los Angeles, CA",Hybrid,4.2 ,Sour Kush,"width:170%,width:114%,width:58%","Peppery,Citrus,Hoppy","Caryophyllene,Limonene,Humulene",19
--position:56.54705281280011%,,,,"50,%,48,%,43,%,42,%,21,%,34,%,28,%,26,%,20,%,15,%,18,%,13,%,5,%,3,%,2,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Tingly, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Muscle spasms, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Happy,50,Relaxed,48,Uplifted,43,Euphoric,42,Tingly,21,,Stress,34,Pain,28,Depression,26,Anxiety,20,Muscle spasms,15,123,88 people reported 563 effects,Dry mouth,18,Dry eyes,13,Dizzy,5,Paranoid,3,Anxious,2,Dancehall,Blueberry,"Ferndale, WA,Portland, OR,Detroit, MI,Moffat, CO,Glendale, AZ,Phoenix, AZ,Avondale, AZ,Beaverton, OR,Bellingham, WA,Bremerton, WA",Hybrid,4.4 ,Rainbow,"width:170%,width:114%,width:58%","Herbal,Peppery,Pine","Myrcene,Caryophyllene,Pinene",17.5
--position:10.107704888719304%,,,,"69,%,57,%,37,%,33,%,32,%,35,%,33,%,30,%,30,%,18,%,23,%,13,%,5,%,3,%,3,%","Relaxed, ,Happy, ,Hungry, ,Sleepy, ,Euphoric, ,Depression, ,Stress, ,Pain, ,Anxiety, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Headache, ",Relaxed,69,Happy,57,Hungry,37,Sleepy,33,Euphoric,32,,Depression,35,Stress,33,Pain,30,Anxiety,30,Lack of appetite,18,80,59 people reported 462 effects,Dry mouth,23,Dry eyes,13,Dizzy,5,Anxious,3,Headache,3,Blue Diamond,Zkittlez,"Portland, OR,Port Hadlock-Irondale, WA,Los Angeles, CA,Baltimore, MD,Bend, OR,Detroit, MI,Eugene, OR,Las Vegas, NV,Laughlin, NV,Mount Shasta, CA",Indica,4.7 ,Blue Zkittlez,"width:170%,width:114%,width:58%","Herbal,Pine,Peppery","Myrcene,Pinene,Caryophyllene",15.5
--position:9.49184284717629%,,Riley Kush,City of God,"69,%,51,%,48,%,41,%,30,%,41,%,37,%,30,%,28,%,28,%,32,%,15,%,6,%,5,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Uplifted, ,Stress, ,Pain, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Relaxed,69,Happy,51,Euphoric,48,Sleepy,41,Uplifted,30,"Difficult,< 30,0.5 - 1,7 - 9",Stress,41,Pain,37,Anxiety,30,Insomnia,28,Depression,28,587,396 people reported 3064 effects,Dry mouth,32,Dry eyes,15,Dizzy,6,Paranoid,5,Anxious,4,Purple Skunk,Hawaiian,"Portland, OR,Tucson, AZ,Astoria, OR,Bellingham, WA,Glendale, AZ,Las Vegas, NV,Longview, WA,Ontario, OR,Phoenix, AZ,Seattle, WA",Indica,4.2 ,God Bud,,,,15.5
--position:43.00040361853257%,,Grilled Cheese,The Blintz,"63,%,63,%,53,%,49,%,28,%,45,%,39,%,37,%,33,%,25,%,27,%,17,%,5,%,4,%,4,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Headache, ,Dizzy, ,Paranoid, ",Happy,63,Relaxed,63,Euphoric,53,Uplifted,49,Creative,28,,Stress,45,Pain,39,Anxiety,37,Depression,33,Insomnia,25,266,193 people reported 1675 effects,Dry mouth,27,Dry eyes,17,Headache,5,Dizzy,4,Paranoid,4,Querkle,Cheese,"Vancouver, WA,Port Angeles, WA,Denver, CO,Freeland, WA,Aspen, CO,Bend, OR,Bremerton, WA,Otis Orchards-East Farms, WA,Seattle, WA,Anacortes, WA",Hybrid,4.2 ,Cheese Quake,"width:170%,width:114%,width:58%","Peppery,Hoppy,Citrus","Caryophyllene,Humulene,Limonene",18
--position:89.60649464771333%,,Tangie Sunrise,Chem Crush,"66,%,52,%,49,%,39,%,38,%,47,%,32,%,32,%,23,%,13,%,32,%,19,%,7,%,6,%,5,%","Happy, ,Uplifted, ,Euphoric, ,Energetic, ,Relaxed, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",Happy,66,Uplifted,52,Euphoric,49,Energetic,39,Relaxed,38,,Stress,47,Depression,32,Anxiety,32,Pain,23,Fatigue,13,491,355 people reported 2759 effects,Dry mouth,32,Dry eyes,19,Dizzy,7,Paranoid,6,Headache,5,California Orange,Blueberry,"Portland, OR,Eugene, OR,Oklahoma City, OK,Tulsa, OK,Los Angeles, CA,Phoenix, AZ,San Francisco, CA,Springfield, OR,Beaverton, OR,Collinsville, OK",Hybrid,4.1 ,Orange Crush,,,,18.5
