calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,grow_all,n_rate_rvws,n_reported_effects,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
--position:17.140404688811923%,,,,"65,%,51,%,50,%,40,%,36,%,41,%,33,%,33,%,27,%,24,%,36,%,22,%,7,%,7,%,3,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Uplifted, ,Stress, ,Pain, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Moderate,< 30,3 - 6,7 - 9",1710,1193 people reported 9348 effects,,,"Silver Spring, MD,Portland, OR,Denver, CO,Oklahoma City, OK,Las Vegas, NV,Los Angeles, CA,Bend, OR,Longmont, CO,San Francisco, CA,Granite Falls, WA",Indica,4.2 ,Master Kush,"width:170%,width:114%,width:58%","Peppery,Citrus,Herbal","Caryophyllene,Limonene,Myrcene",17.5
--position:88.58527916739466%,,Animal Land,Grandma’s Batch,"64,%,55,%,52,%,48,%,44,%,31,%,29,%,21,%,19,%,17,%,21,%,13,%,5,%,4,%,3,%","Happy, ,Uplifted, ,Euphoric, ,Relaxed, ,Energetic, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Paranoid, ","Easy,30 - 78,3 - 6,7 - 9",1009,717 people reported 5431 effects,Platinum GSC,Granddaddy Purple,"Silver Spring, MD,Shawnee, OK,Portland, OR,Phoenix, AZ,Seattle, WA,Spokane, WA,Oklahoma City, OK,Ferndale, WA,Mesa, AZ,Bellingham, WA",Sativa,4.5 ,Candyland,"width:170%,width:114%,width:58%","Peppery,Citrus,Hoppy","Caryophyllene,Limonene,Humulene",19
--position:2.7727885494863824%,,,,"65,%,52,%,36,%,33,%,30,%,36,%,35,%,33,%,26,%,22,%,23,%,13,%,5,%,3,%,3,%","Relaxed, ,Sleepy, ,Happy, ,Euphoric, ,Hungry, ,Insomnia, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Moderate,30 - 78,1 - 3,7 - 9",808,566 people reported 4014 effects,,,"Silver Spring, MD,Los Angeles, CA,Phoenix, AZ,San Francisco, CA,Las Vegas, NV,Oklahoma City, OK,San Diego, CA,Santa Ana, CA,Tulsa, OK,Chandler, AZ",Indica,4.6 ,King Louis XIII,"width:170%,width:114%,width:58%","Citrus,Herbal,Peppery","Limonene,Myrcene,Caryophyllene",20.5
--position:7.356366999563546%,,High Five,P-51,"71,%,50,%,49,%,47,%,32,%,37,%,36,%,34,%,28,%,25,%,30,%,16,%,7,%,3,%,3,%","Relaxed, ,Sleepy, ,Happy, ,Euphoric, ,Hungry, ,Stress, ,Pain, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Moderate,30 - 78,3 - 6,7 - 9",1257,881 people reported 6951 effects,SFV OG Kush,OG Kush,"Seattle, WA,Oklahoma City, OK,Phoenix, AZ,Portland, OR,Vancouver, WA,Oak Harbor, WA,Everson, WA,Mount Vernon, WA,Spokane, WA,Everett, WA",Hybrid,4.4 ,Tahoe OG Kush,"width:170%,width:114%,width:58%","Citrus,Peppery,Herbal","Limonene,Caryophyllene,Myrcene",18
--position:17.4842903688597%,,,,"65,%,52,%,44,%,30,%,24,%,32,%,26,%,23,%,22,%,17,%,20,%,11,%,5,%,5,%,5,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Sleepy, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Paranoid, ",,350,220 people reported 1445 effects,Cherry Pie,GSC,"Silver Spring, MD,Everett, WA,Oklahoma City, OK,Las Vegas, NV,Los Angeles, CA,Oak Harbor, WA,San Francisco, CA,Tulsa, OK,Baltimore, MD,Denver, CO",Hybrid,4.5 ,Birthday Cake Kush,"width:170%,width:114%,width:58%","Peppery,Citrus,Herbal","Caryophyllene,Limonene,Myrcene",19
--position:19.0558360921689%,,CBD Blue Shark,Triple Cheese,"62,%,55,%,52,%,38,%,35,%,41,%,31,%,30,%,25,%,24,%,37,%,21,%,8,%,5,%,5,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Uplifted, ,Stress, ,Pain, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Easy,30 - 78,1 - 3,7 - 9",2566,1807 people reported 13987 effects,UK Cheese,Blueberry,"Silver Spring, MD,Washington, DC,Phoenix, AZ,Mesa, AZ,Tucson, AZ,Oklahoma City, OK,Portland, OR,Flagstaff, AZ,Tulsa, OK,Baltimore, MD",Indica,4.2 ,Blue Cheese,"width:170%,width:114%,width:58%","Citrus,Peppery,Herbal","Limonene,Caryophyllene,Myrcene",16.5
--position:8.118231904406164%,,Supernatural,Sour Ape,"62,%,49,%,45,%,44,%,28,%,41,%,38,%,32,%,31,%,20,%,29,%,17,%,6,%,4,%,3,%","Relaxed, ,Happy, ,Sleepy, ,Euphoric, ,Hungry, ,Pain, ,Stress, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Easy,30 - 78,3 - 6,7 - 9",1945,1361 people reported 10092 effects,Mendocino Purps,Afghani,"Seattle, WA,Everett, WA,Spokane, WA,Ferndale, WA,Shawnee, OK,Los Angeles, CA,Oak Harbor, WA,Vancouver, WA,Oklahoma City, OK,Mount Vernon, WA",Indica,4.3 ,Grape Ape,"width:170%,width:114%,width:58%","Herbal,Pine,Peppery","Myrcene,Pinene,Caryophyllene",17
,,,,,,,3,,,,"Bellingham, WA,Anacortes, WA,Burien, WA,Ferndale, WA,Marietta, OH,Oklahoma City, OK,Seaside, CA,Auburn, WA,Bremerton, WA,Columbus, OH",Hybrid,4.7 ,Apple Fritter,,,,
,,,,,,,,,,,,Hybrid,,OG Strawberry Star Killer,,,,
,,,,,,,,,,,,Hybrid,,Pablo’s Mint,,,,
,,,,,,,,,,,,Hybrid,,Mastodon Kush,,,,
,,,,,,,,,,,"Everett, WA,Napa, CA",Hybrid,,Lemon OZ,,,,
,,,,,,,,,The Original Lemonnade,Sherbert,"McKinleyville, CA",Hybrid,,Sorbet #11,,,,
,,,,,,,,,,,,Hybrid,,Lemon Pebblez,,,,
,,,,,,,,,White Queen,Hawaiian,"Los Angeles, CA,Eureka, CA,Merced, CA,San Francisco, CA",Hybrid,,Y-Kiki,,,,
--position:69.80340158317273%,,,,,,,24,,Space Queen,Chemdog,"Seattle, WA,Snohomish, WA,Ellensburg, WA,Anacortes, WA,Bellingham, WA,Bingen, WA,Mount Vernon, WA,Renton, WA,Bothell, WA,Friday Harbor, WA",Hybrid,4.4 ,Omega Dawg,,,,
,,,,,,,11,,,,,Sativa,3.6 ,Super Cat Piss,,,,
,,,,,,,1,,,,"Lapeer, MI",Hybrid,5 ,Lemon Oasis,,,,
,,,,,,,,,Mimosa,Sour StrawburieD,,Hybrid,,Gran Champagne,,,,
,,,,,,,,,Strawberry Kush,Sour Diesel,,Hybrid,,Sour StrawburieD,,,,
,,,,,,,,,,,,Hybrid,,Bear Creek Kush,,,,
,,,,,,,,,,,"Bremerton, WA,Lovelock, NV",Hybrid,,Alphadawg,,,,
,,,,,,,,,,,"Ritzville, WA,Fife, WA,Louisville, CO,Parkland, WA",Hybrid,,Snowdawg 2,,,,
