calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,grow_all,n_rate_rvws,n_reported_effects,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
--position:86.67872257902164%,,,,"62,%,50,%,43,%,37,%,31,%,21,%,21,%,18,%,15,%,15,%,25,%,25,%,6,%","Happy, ,Relaxed, ,Uplifted, ,Energetic, ,Focused, ,Pain, ,Stress, ,Anxiety, ,Depression, ,Inflammation, ,Dry eyes, ,Dry mouth, ,Dizzy, ",,55,32 people reported 194 effects,,,"Anchorage, AK,Tulsa, OK,Bend, OR,Fulton, IL,Humacao, PR,Oklahoma City, OK,Portland, OR,Posen, IL",Sativa,4.5 ,1024,,,,
--position:79.96069952469834%,,,,"56,%,49,%,49,%,41,%,39,%,40,%,27,%,23,%,18,%,14,%,23,%,17,%,3,%,1,%,1,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Anxious, ,Dizzy, ",,114,81 people reported 606 effects,,,"Vancouver, WA,Kelso, WA,Seattle, WA,Aberdeen, WA,Dayton, WA,Bellingham, WA,Davis, OK,Salem, OR,Bend, OR,Bothell, WA",Sativa,4.2 ,Chocolate Thai,"width:170%,width:114%,width:58%","Herbal,Peppery,Pine","Myrcene,Caryophyllene,Pinene",16
--position:31.338743464150475%,,,,"61,%,49,%,47,%,39,%,37,%,33,%,25,%,23,%,19,%,19,%,28,%,12,%,7,%,4,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Sleepy, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Anxious, ,Dizzy, ",,251,184 people reported 1236 effects,Rare Dankness #1,Tangerine Haze,"Denver, CO,Phoenix, AZ,Chandler, AZ,Mesa, AZ,Newton, MA,Rifle, CO,Dinosaur, Co,Green Valley, AZ,Lake Havasu City, AZ,Marlborough, MA",Indica,4.1 ,Tangerine Kush,,,,17
--position:6.964351644310229%,,Phantom Arrow,Sweet Pink,"83,%,53,%,46,%,42,%,37,%,38,%,29,%,25,%,25,%,24,%,25,%,9,%,5,%,3,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Uplifted, ,Stress, ,Anxiety, ,Depression, ,Insomnia, ,Headaches, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ",,86,54 people reported 406 effects,Cherry Pie,Granddaddy Purple,"Seattle, WA,Phoenix, AZ,Redmond, WA,Bellingham, WA,Las Vegas, NV,Mesa, AZ,Burlington, WA,Fife, WA,Glendale, AZ,Parkland, WA",Indica,4.7 ,Pink Champagne,,,,19
--position:4.580635597847138%,,,,,,,12,,Rare Dankness #1,Face Off OG,"Lake Wales, FL,Long Beach, CA,Shasta Lake City, CA,Bonita Springs, FL,Los Angeles, CA,Sacramento, CA,San Diego, CA,West Hollywood, CA",Hybrid,4.7 ,Doc’s OG,"width:170%,width:114%,width:58%","Herbal,Peppery,Citrus","Myrcene,Caryophyllene,Limonene",17
--position:74.84314055004742%,,,,"66,%,58,%,52,%,49,%,37,%,26,%,24,%,21,%,17,%,14,%,16,%,9,%,5,%,5,%,2,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Energetic, ,Depression, ,Stress, ,Anxiety, ,Pain, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Anxious, ,Dizzy, ",,271,174 people reported 1275 effects,,,"Portland, OR,Denver, CO,Salem, OR,Eugene, OR,Bend, OR,Medford, OR,Astoria, OR,Beaverton, OR,Ontario, OR,Oregon City, OR",Hybrid,4.5 ,Mob Boss,,,,20.5
--position:47.445530012792446%,,,,"56,%,53,%,52,%,44,%,27,%,45,%,38,%,34,%,29,%,23,%,31,%,17,%,5,%,4,%,4,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Sleepy, ,Pain, ,Stress, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",,388,281 people reported 2345 effects,Blueberry,White Widow,"Mount Vernon, WA,Seattle, WA,Anacortes, WA,Bothell, WA,Oklahoma City, OK,Spokane, WA,Windham, ME,Bartlesville, OK,Bend, OR,Bremerton, WA",Hybrid,4.1 ,Blue Widow,,,,13.5
--position:68.85141443902454%,,,,"67,%,61,%,52,%,49,%,46,%,41,%,32,%,31,%,25,%,14,%,24,%,10,%,9,%,7,%,5,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Creative, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Nausea, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",,180,130 people reported 1076 effects,,,"Silver Spring, MD,Denver, CO,Boulder, CO,Tulsa, OK,Baltimore, MD,Fort Collins, CO,Los Angeles, CA,Northglenn, CO,Snohomish, WA,Auburn, WA",Hybrid,4.5 ,Lucky Charms,,,,21.5
--position:97.29287124005852%,,,,"55,%,55,%,48,%,47,%,44,%,46,%,32,%,30,%,27,%,16,%,33,%,18,%,9,%,7,%,6,%","Happy, ,Uplifted, ,Energetic, ,Euphoric, ,Creative, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Anxious, ",,495,365 people reported 2844 effects,,,"Beaverton, OR,Oak Grove, OR,Denver, CO,Commerce City, CO,Fraser, CO,Nederland, CO,Bend, OR,Englewood, CO,Eugene, OR,Colorado Springs, CO",Hybrid,4.1 ,Snowcap,,,,16
--position:55.488621269602014%,,,,,,,26,,,,"San Francisco, CA,Los Angeles, CA,San Jose, CA,Alameda, CA,Lompoc, CA,Seaside, CA,Davis, CA,Long Beach, CA,Oakland, CA,San Diego, CA",Hybrid,4.3 ,Banjo,,,,19
--position:67.65296905756945%,,Bright Moments,Grape Stomper OG,"62,%,55,%,52,%,50,%,29,%,39,%,36,%,31,%,29,%,14,%,24,%,13,%,7,%,4,%,3,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Headache, ",,374,268 people reported 2080 effects,Purple Elephant,Chemdog Sour Diesel,"Portland, OR,Denver, CO,Beaverton, OR,Bend, OR,Durango, CO,Las Vegas, NV,Seattle, WA,Mount Vernon, WA,Pueblo, CO,Pueblo West, CO",Hybrid,4.3 ,Grape Stomper,,,,
--position:58.374827398607444%,,,,"60,%,60,%,55,%,49,%,31,%,31,%,28,%,28,%,21,%,12,%,21,%,7,%,5,%,5,%,2,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Focused, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Nausea, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",,174,119 people reported 844 effects,,,"Portland, OR,Eugene, OR,Las Vegas, NV,Salem, OR,Beaverton, OR,Seattle, WA,Bend, OR,Detroit, MI,Reno, NV,Bellingham, WA",Hybrid,4.7 ,Sour Banana Sherbet,"width:170%,width:114%,width:58%","Herbal,Pine,Peppery","Myrcene,Pinene,Caryophyllene",20
--position:45.009192268115974%,,Iced Widow,ICED Grapefruit,"53,%,53,%,53,%,41,%,33,%,46,%,45,%,40,%,29,%,24,%,36,%,22,%,10,%,8,%,7,%","Relaxed, ,Euphoric, ,Happy, ,Uplifted, ,Focused, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",,231,175 people reported 1459 effects,Shiva Skunk,Afghani,"Renton, WA,Denver, CO,Oklahoma City, OK,Portland, OR,Billings, MT,Clarkston, WA,Crows Landing, CA,Dinosaur, CO,Everett, WA,Hood River, OR",Hybrid,4 ,Ice,,,,17
--position:9.408719379384461%,,,,"52,%,46,%,46,%,46,%,27,%,39,%,37,%,34,%,29,%,20,%,35,%,20,%,8,%,5,%,3,%","Relaxed, ,Sleepy, ,Euphoric, ,Happy, ,Uplifted, ,Stress, ,Insomnia, ,Pain, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Moderate,30 - 78,3 - 6,7 - 9",630,465 people reported 3267 effects,,,"Seattle, WA,Everson, WA,Spokane, WA,Spokane Valley, WA,Oklahoma City, OK,Bellingham, WA,Hooker, OK,Liberty Lake, WA,Medford, OR,Tulsa, OK",Indica,4 ,Afgoo,"width:170%,width:114%,width:58%","Herbal,Minty,Peppery","Myrcene,Ocimene,Caryophyllene",17
--position:4.550851680666818%,,,,"82,%,58,%,55,%,48,%,29,%,37,%,34,%,30,%,25,%,19,%,28,%,18,%,6,%,4,%,3,%","Relaxed, ,Happy, ,Sleepy, ,Euphoric, ,Hungry, ,Stress, ,Insomnia, ,Anxiety, ,Pain, ,Depression, ,Dry mouth, ,Dry eyes, ,Headache, ,Dizzy, ,Paranoid, ",,258,181 people reported 1351 effects,,,"Colorado Springs, CO,Coweta, OK,Reseda, CA",Indica,4.3 ,Purple Candy,,,,15.5
--position:43.229009291701146%,,,,"71,%,57,%,51,%,50,%,34,%,42,%,39,%,28,%,25,%,24,%,30,%,10,%,6,%,6,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Inflammation, ,Depression, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",,90,66 people reported 587 effects,,,"Portland, OR,Kingston, WA,Las Vegas, NV,Spokane, WA,Seattle, WA,Baltimore, MD,San Diego, CA,Everett, WA,Eugene, OR,Phoenix, AZ",Hybrid,4.6 ,Blueberry Cookies,"width:170%,width:114%,width:58%","Herbal,Pine,Peppery","Myrcene,Pinene,Caryophyllene",15
--position:95.97990912297814%,,,,"63,%,58,%,58,%,45,%,44,%,40,%,27,%,25,%,24,%,17,%,41,%,30,%,13,%,9,%,5,%","Happy, ,Euphoric, ,Uplifted, ,Energetic, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",,283,191 people reported 1522 effects,,,"Gunnison, CO",Hybrid,4.4 ,Jean Guy,,,,
--position:27.346171978376177%,10.5,Harley Storm,Astral Works,"68,%,41,%,38,%,30,%,19,%,45,%,38,%,35,%,28,%,25,%,12,%,5,%,3,%,3,%,0,%","Relaxed, ,Happy, ,Uplifted, ,Focused, ,Euphoric, ,Pain, ,Stress, ,Anxiety, ,Inflammation, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Anxious, ",,328,239 people reported 1703 effects,Sour Tsunami,Harlequin,"Silver Spring, MD,Chicago, IL,Portland, OR,Buffalo Grove, IL,Seattle, WA,Champaign, IL,San Francisco, CA,Rockford, IL,Rockville, MD,Elmwood Park, IL",Hybrid,4.4 ,Harle-Tsu,"width:170%,width:114%,width:58%","Herbal,Fruity,Pine","Myrcene,Terpinolene,Pinene",10.5
--position:75.19662542327903%,,,,"63,%,60,%,58,%,49,%,40,%,39,%,38,%,35,%,28,%,21,%,21,%,12,%,6,%,5,%,2,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Energetic, ,Anxiety, ,Depression, ,Stress, ,Pain, ,PTSD, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",,164,115 people reported 984 effects,,,"Portland, OR,Denver, CO,Las Vegas, NV,Trinidad, CO,Durango, CO,Warner, OK,Beaverton, OR,Eugene, OR,Santa Ana, CA,Bellingham, WA",Hybrid,4.6 ,Cherry Diesel,,,,
--position:97.01978780292245%,,Athabasca,Aberdeen,"54,%,51,%,48,%,47,%,39,%,40,%,37,%,30,%,23,%,15,%,30,%,16,%,12,%,7,%,6,%","Happy, ,Uplifted, ,Euphoric, ,Energetic, ,Creative, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Anxious, ",,431,327 people reported 2524 effects,Jack's Cleaner,Space Queen,"Ferndale, WA,Seattle, WA,Portland, OR,Phoenix, AZ,Renton, WA,Lynnwood, WA,Spokane, WA,Chandler, AZ,Everett, WA,Oak Harbor, WA",Sativa,4.2 ,Jack the Ripper,,,,17
--position:6.063884238937012%,,,,"69,%,50,%,50,%,40,%,38,%,38,%,32,%,31,%,29,%,21,%,29,%,18,%,6,%,4,%,1,%","Relaxed, ,Sleepy, ,Happy, ,Euphoric, ,Hungry, ,Stress, ,Pain, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",,303,201 people reported 1449 effects,Pre-98 Bubba Kush,Ghost OG,"Silver Spring, MD,Baltimore, MD,Lawton, OK,Oklahoma City, OK,Catonsville, MD,Crofton, MD,Portland, OR,Rockville, MD,San Diego, CA,Sun City, AZ",Indica,4.3 ,Bubba OG,,,,17.5
--position:80.4234552245577%,,Limon,Triple Diesel,"67,%,51,%,48,%,47,%,35,%,40,%,31,%,30,%,25,%,16,%,40,%,17,%,10,%,8,%,4,%","Happy, ,Uplifted, ,Relaxed, ,Euphoric, ,Creative, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Headache, ",,292,210 people reported 1621 effects,NYC Diesel,Strawberry Cough,"Moffat, CO,Arlington, WA,Mount Vernon, WA,Spokane, WA,Anchorage, AK,Bellingham, WA,California, CA,Colorado Springs, CO,Denver, CO,Oklahoma City, OK",Hybrid,4.3 ,Strawberry Diesel,"width:170%,width:114%,width:58%","Citrus,Floral,Peppery","Limonene,Linalool,Caryophyllene",16
--position:14.327959356672926%,,Grape Drink,Blackberry Dream,"77,%,50,%,41,%,38,%,38,%,36,%,33,%,29,%,28,%,22,%,25,%,14,%,5,%,3,%,1,%","Relaxed, ,Happy, ,Sleepy, ,Euphoric, ,Uplifted, ,Pain, ,Stress, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Headache, ",,187,127 people reported 1014 effects,Starfighter,Blackberry Kush,"Seattle, WA,Portland, OR,Eugene, OR,Everett, WA,Spokane, WA,Salem, OR,Tacoma, WA,Bellingham, WA,Sequim, WA,Bend, OR",Hybrid,4.5 ,Kimbo Kush,"width:170%,width:114%,width:58%","Citrus,Peppery,Pine","Limonene,Caryophyllene,Pinene",18
--position:6.8061674001356876%,,,,"75,%,51,%,50,%,48,%,34,%,37,%,34,%,29,%,26,%,25,%,26,%,18,%,4,%,4,%,4,%","Relaxed, ,Sleepy, ,Happy, ,Euphoric, ,Uplifted, ,Stress, ,Insomnia, ,Pain, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,184,123 people reported 955 effects,Black Domina,Granddaddy Purple,"Seattle, WA,Everett, WA,Denver, CO,Portland, OR,Las Vegas, NV,Pittsfield, MA,Arlington, WA,Bellingham, WA,Shoreline, WA,Burlington, WA",Indica,4.5 ,Black Mamba,,,,20
--position:2.4053057332940053%,,,,"90,%,64,%,48,%,38,%,25,%,41,%,38,%,25,%,22,%,16,%,25,%,25,%,3,%,3,%","Relaxed, ,Sleepy, ,Euphoric, ,Happy, ,Uplifted, ,Stress, ,Insomnia, ,Anxiety, ,Pain, ,Headaches, ,Dry eyes, ,Dry mouth, ,Dizzy, ,Headache, ",,41,31 people reported 230 effects,Lavender,Amnesia,"Las Vegas, NV,Everett, WA,Henderson, NV,Longview, WA,Seattle, WA,Shelton, WA,Goldendale, WA,Granite Falls, WA,Kingston, WA,Puyallup, WA",Indica,4.7 ,Zombie Kush,,,,13
--position:90.71165522429543%,,Golden Panda,Peachy Mack,"67,%,56,%,55,%,49,%,49,%,34,%,33,%,21,%,16,%,16,%,21,%,12,%,7,%,4,%,4,%","Happy, ,Uplifted, ,Euphoric, ,Relaxed, ,Energetic, ,Stress, ,Depression, ,Anxiety, ,Fatigue, ,Pain, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Paranoid, ",,425,302 people reported 2264 effects,Pineapple Kush,Golden Goat,"Seattle, WA,Oak Harbor, WA,Portland, OR,Ferndale, WA,Everett, WA,Lynnwood, WA,Mount Vernon, WA,Vancouver, WA,Bellingham, WA,Walla Walla, WA",Hybrid,4.5 ,Golden Pineapple,"width:170%,width:114%,width:58%","Fruity,Herbal,Minty","Terpinolene,Myrcene,Ocimene",21
--position:56.92049376920385%,,,,"69,%,67,%,57,%,51,%,36,%,37,%,35,%,30,%,29,%,18,%,25,%,14,%,5,%,3,%,3,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Headache, ",,173,113 people reported 1032 effects,,,"Glendale, AZ,Portland, OR,Phoenix, AZ,Denver, CO,Lovelock, NV,Mesa, AZ,Pueblo, CO,Santa Cruz, CA,Silt, CO,Beaverton, OR",Hybrid,4.5 ,Chemdog 91,,,,
--position:17.445661237364995%,,,,"57,%,47,%,43,%,31,%,30,%,36,%,32,%,31,%,27,%,21,%,28,%,18,%,7,%,5,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Sleepy, ,Stress, ,Pain, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",,313,219 people reported 1548 effects,African,Grapefruit,"Los Angeles, CA,Denver, CO,Portland, OR,Canoga Park, CA,Chatsworth, CA,Corvallis, OR,Las Vegas, NV,Oklahoma City, OK,Canon City, CO,Cathedral City, CA",Indica,4 ,Diablo,"width:170%,width:114%,width:58%","Herbal,Peppery,Citrus","Myrcene,Caryophyllene,Limonene",19.5
--position:35.546978826784645%,,Chem Jong Ill,Kelly Hill Gold,"54,%,51,%,50,%,40,%,29,%,41,%,39,%,29,%,26,%,19,%,25,%,14,%,7,%,7,%,3,%","Relaxed, ,Euphoric, ,Happy, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",,336,251 people reported 1896 effects,Nepalese,Thai,"Denver, CO,Marlborough, MA,Newton, MA,Portland, OR,Oakland, CA,Colorado Springs, CO,Durango, CO,Los Angeles, CA,San Diego, CA,Ashland, OR",Hybrid,4.3 ,Chemdog 4,,,,
--position:27.07867636647119%,,,,"94,%,66,%,54,%,49,%,29,%,45,%,41,%,37,%,33,%,23,%,23,%,7,%,1,%,1,%,1,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Sleepy, ,Stress, ,Depression, ,Pain, ,Anxiety, ,Insomnia, ,Dry mouth, ,Anxious, ,Dizzy, ,Dry eyes, ,Paranoid, ",,76,51 people reported 429 effects,Irene OG,Face Off OG,"Portland, OR,Seattle, WA,Eugene, OR,Salem, OR,Spokane, WA,Longview, WA,Medford, OR,Springfield, OR,Beaverton, OR,Gresham, OR",Hybrid,4.8 ,RudeBoi OG,"width:170%,width:114%,width:58%","Peppery,Herbal,Citrus","Caryophyllene,Myrcene,Limonene",20
--position:3.95923106233968%,,,,"73,%,51,%,46,%,32,%,25,%,39,%,35,%,34,%,29,%,21,%,25,%,14,%,4,%,4,%,2,%","Relaxed, ,Sleepy, ,Happy, ,Euphoric, ,Uplifted, ,Stress, ,Pain, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,367,263 people reported 1920 effects,Bubble Gum,OG Kush,"Kingston, WA,Seattle, WA,Everett, WA,Spokane, WA,Santa Ana, CA,Astoria, OR,Salem, OR,Corvallis, OR,Eugene, OR,Liberty Lake, WA",Indica,4.4 ,Presidential OG,,,,17.5
--position:75.52553748394236%,,,,"61,%,56,%,55,%,51,%,40,%,34,%,32,%,31,%,26,%,16,%,26,%,11,%,6,%,3,%,3,%","Relaxed, ,Happy, ,Uplifted, ,Euphoric, ,Focused, ,Stress, ,Depression, ,Pain, ,Anxiety, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Paranoid, ",,337,227 people reported 1790 effects,Dream Star,Blue Dream,"Ferndale, WA,Seattle, WA,Parkland, WA,Portland, OR,Puyallup, WA,Vancouver, WA,Wenatchee, WA,Bremerton, WA,Fife, WA,Medford, OR",Hybrid,4.4 ,Double Dream,"width:170%,width:114%,width:58%","Herbal,Pine,Peppery","Myrcene,Pinene,Caryophyllene",18
--position:90.61873084820884%,,,,"65,%,52,%,43,%,40,%,38,%,38,%,33,%,29,%,24,%,12,%,44,%,30,%,7,%,6,%,6,%","Happy, ,Euphoric, ,Uplifted, ,Energetic, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",,240,175 people reported 1220 effects,,,"Eufaula, OK,Ann Arbor, MI,Pocola, OK,San Francisco, CA,Soap Lake, WA",Hybrid,4.2 ,Orange Bud,,,,16
--position:77.66137475930881%,,,,"61,%,61,%,56,%,52,%,48,%,35,%,33,%,29,%,24,%,18,%,27,%,12,%,11,%,8,%,7,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Energetic, ,Stress, ,Depression, ,Pain, ,Anxiety, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Headache, ",,237,157 people reported 1381 effects,God Bud,Green Crack,,Hybrid,4.5 ,God's Green Crack,,,,
--position:6.45787753147048%,,,,"68,%,52,%,47,%,31,%,29,%,39,%,31,%,25,%,23,%,19,%,33,%,17,%,11,%,1,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Hungry, ,Anxiety, ,Stress, ,Depression, ,Pain, ,Asthma, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ",,93,51 people reported 371 effects,,,"Shawnee, OK,Los Angeles, CA,Oklahoma City, OK,Encino, CA,Chatsworth, CA,San Bernardino, CA,Tulsa, OK,Las Vegas, NV,Needles, CA,Palo Alto, CA",Hybrid,4.3 ,Skywalker Alien,,,,
--position:12.557652386930606%,,,,"75,%,41,%,41,%,36,%,34,%,46,%,41,%,39,%,31,%,31,%,34,%,26,%,17,%,2,%,2,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Uplifted, ,Stress, ,Pain, ,Insomnia, ,Depression, ,Anxiety, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,58,41 people reported 350 effects,,,"Everson, WA,Oak Harbor, WA,Oklahoma City, OK,Seattle, WA,Custer, WA,Tacoma, WA,Taunton, MA,Ann Arbor, MI,Bellingham, WA,Bothell, WA",Indica,4.7 ,Peyote Cookies,,,,
--position:4.885201898478142%,,,,"72,%,40,%,36,%,27,%,22,%,27,%,22,%,18,%,13,%,9,%,22,%,13,%,9,%,4,%","Relaxed, ,Sleepy, ,Euphoric, ,Focused, ,Uplifted, ,Insomnia, ,Pain, ,Inflammation, ,Depression, ,Lack of appetite, ,Dry mouth, ,Headache, ,Dry eyes, ,Anxious, ",,27,22 people reported 102 effects,,,"Tulsa, OK,Phoenix, AZ,Los Angeles, CA,Beverly Hills, CA,Glendale, AZ,Jenks, OK,Oakland, CA,Okmulgee, OK,Palm Springs, CA,Santa Ana, CA",Indica,4.5 ,Pink Panties,,,,
,,,,,,,13,,LA Kush,Original Glue,"Ferndale, WA,Oak Harbor, WA,Portland, OR,Seattle, WA,Arlington, WA,Bremerton, WA,Maywood, CA,Bend, OR,Cottage Grove, OR,Durango, CO",Hybrid,4.8 ,LA Cake,,,,22.5
--position:79.26359314802983%,,,,"37,%,33,%,33,%,27,%,23,%,20,%,20,%,15,%,15,%,11,%,18,%,10,%,8,%,6,%,6,%","Happy, ,Relaxed, ,Uplifted, ,Focused, ,Euphoric, ,Depression, ,Stress, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Anxious, ,Dry eyes, ,Dizzy, ,Paranoid, ",,87,59 people reported 314 effects,White Widow,Jack Herer,"Silver Spring, MD,Tulsa, OK,Phoenix, AZ,Denver, CO,Edmond, OK,Glendale, AZ,Oklahoma City, OK,San Francisco, CA,Camp Springs, MD,Seattle, WA",Hybrid,4.2 ,Apple Jack,,,,
--position:6.813428980370046%,,,,"80,%,49,%,47,%,39,%,28,%,37,%,35,%,31,%,28,%,25,%,22,%,11,%,5,%,3,%,3,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Hungry, ,Stress, ,Pain, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Headache, ",,222,153 people reported 1211 effects,,,"Seattle, WA,Denver, CO,Las Vegas, NV,Boulder, CO,Portland, OR,Salem, OR,Bend, OR,Lebanon, OR,Monmouth, OR,Port Hadlock-Irondale, WA",Hybrid,4.5 ,Hell's OG,"width:170%,width:114%,width:58%","Herbal,Citrus,Peppery","Myrcene,Limonene,Caryophyllene",22
--position:7.849987585742596%,,Valley Ghash,Karmarado OG,"77,%,59,%,47,%,44,%,30,%,46,%,44,%,32,%,30,%,26,%,24,%,14,%,5,%,3,%,3,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Uplifted, ,Pain, ,Stress, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Headache, ,Dizzy, ,Paranoid, ",,215,128 people reported 1125 effects,Afghani,SFV OG,"Tulsa, OK,Berwick, ME,Oklahoma City, OK,Burlington, WA,Mesa, AZ,Walla Walla, WA,Bellingham, WA,Claremore, OK,Fernley, NV,Flagstaff, AZ",Indica,4.5 ,SFV OG Kush,,,,19.5
--position:83.63700784897597%,,Candy Drop,Panda OG,"60,%,58,%,51,%,47,%,46,%,31,%,23,%,22,%,18,%,17,%,23,%,16,%,14,%,13,%,7,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Depression, ,Pain, ,Nausea, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",,158,113 people reported 941 effects,Chemdog,OG Kush,"Seattle, WA,Mount Vernon, WA,Ferndale, WA,Vancouver, WA,Portland, OR,Bellingham, WA,Bremerton, WA,Kelso, WA,Lynnwood, WA,Spokane, WA",Hybrid,4.5 ,OG Chem,,,,21.5
--position:85.8813817501923%,,,,"59,%,51,%,51,%,50,%,46,%,31,%,28,%,23,%,17,%,17,%,24,%,6,%,5,%,4,%,3,%","Happy, ,Relaxed, ,Energetic, ,Focused, ,Uplifted, ,Stress, ,Depression, ,Pain, ,Fatigue, ,Anxiety, ,Dry mouth, ,Anxious, ,Dry eyes, ,Dizzy, ,Headache, ",,140,91 people reported 645 effects,,,"Portland, OR,Bend, OR,Issaquah, WA,Medford, OR,Salem, OR,Seaside, OR,Ann Arbor, MI,Arlington, WA,Astoria, OR,Clackamas, OR",Sativa,4.1 ,Thai,,,,19
